1,UK для начинающих,446.0,69,2145620.jpg,1
2,Под личиной,333.0,24,2147913.jpg,2
3,Плоть,748.0,68,2148640.jpg,3
4,Прогулки по мартовскому льду,213.0,26,2160528.jpg,4
5,Коби Брайант. Философия игры и жизни легендарной Черной Мамбы,1195.0,30,2947285.jpg,5
6,Пятерка с хвостиком,2400.0,41,2949986.jpg,6
7,Картина кровью,625.0,91,2950974.jpg,7
8,Дорога проклятых кошек,545.0,97,2951014.jpg,8
9,Колесница времени,269.0,98,2951089.jpg,9
10,Диктатор,771.0,52,2951614.jpg,10

